,Model,Compressor,error_bound,epochs,miou,class,iou,run,model_num
318,unet,sz3,1E-7,10,0.3829749507361644,motorcycle,0.02489229296314026,0,101
319,unet,sz3,1E-7,10,0.3829749507361644,bicycle,0.3392252592566195,0,101
320,unet,sz3,1E-7,10,0.4268592028569473,unlabeled,0.45961067247481624,1,101
321,unet,sz3,1E-7,10,0.4268592028569473,road,0.884609003902449,1,101
322,unet,sz3,1E-7,10,0.4268592028569473,sidewalk,0.5620344852463747,1,101
323,unet,sz3,1E-7,10,0.4268592028569473,building,0.7549020931600235,1,101
324,unet,sz3,1E-7,10,0.4268592028569473,wall,0.261674443834016,1,101
325,unet,sz3,1E-7,10,0.4268592028569473,fence,0.21954247483299916,1,101
326,unet,sz3,1E-7,10,0.4268592028569473,pole,0.13329801480435008,1,101
327,unet,sz3,1E-7,10,0.4268592028569473,traffic light,0.1757035197154873,1,101
328,unet,sz3,1E-7,10,0.4268592028569473,traffic sign,0.2750026873496118,1,101
329,unet,sz3,1E-7,10,0.4268592028569473,vegetation,0.7871763163070322,1,101
330,unet,sz3,1E-7,10,0.4268592028569473,terrain,0.42419921826986895,1,101
331,unet,sz3,1E-7,10,0.4268592028569473,sky,0.8026287433752634,1,101
332,unet,sz3,1E-7,10,0.4268592028569473,person,0.42410875165169576,1,101
333,unet,sz3,1E-7,10,0.4268592028569473,rider,0.13619561348265383,1,101
334,unet,sz3,1E-7,10,0.4268592028569473,car,0.7952573961820321,1,101
335,unet,sz3,1E-7,10,0.4268592028569473,truck,0.43768370738675383,1,101
336,unet,sz3,1E-7,10,0.4268592028569473,bus,0.40707603769848205,1,101
